|faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
476|DG|SHAMBLING WALL|10140007|Shamblerot Vectorium – Strategic Ploy Stratagem|1.0|Lacking even basic self-preservation instincts, Poxwalkers make excellent walking shields.|Opponent’s turn|Shooting phase|Shamblerot Vectorium|1053.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00168"" data-tooltip-content=""#tooltip_content00168"" data-tooltip-anchor=""#tooltip_content00168""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks, and one friendly <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Poxwalkers""><span class=""kwb kwbo"">POXWALKERS</span></a> unit within 3"" of your unit and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to both your unit and the attacking unit.<br><br><b>EFFECT:</b> Until the end of the phase, each time you would allocate an attack to a model in your <span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> unit, if your <span class=""kwb"">POXWALKERS</span> unit is visible to the attacking model and is an eligible target for that attack, no <a href=""/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw"">saving throw</a> is made for that attack; instead a number of <span class=""kwb"">POXWALKERS</span> from your <span class=""kwb"">POXWALKERS</span> unit equal to the Damage characteristic of that attack are destroyed."|
477|DG|SHOCK AND HORROR|10140006|Shamblerot Vectorium – Strategic Ploy Stratagem|1.0|Already dismayed by this living nightmare, the enemy falters before another sudden onslaught.|Your turn|Charge phase|Shamblerot Vectorium|1053.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>, just after a <span class=""tooltip00168"" data-tooltip-content=""#tooltip_content00168"" data-tooltip-anchor=""#tooltip_content00168""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span></span> unit from your army ends a <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge move</a>.<br><br><b>TARGET:</b> That <span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> unit.<br><br><b>EFFECT:</b> Each enemy unit within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of your unit must take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a>, subtracting 1 from that test."|
478|DG|HIDDEN AMONGST THE DEAD|10140005|Shamblerot Vectorium – Strategic Ploy Stratagem|1.0|Another wave of Poxwalkers rises from the battlefield’s carrion heaps.|Your turn|Movement phase|Shamblerot Vectorium|1053.0|"<b>WHEN:</b> The <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reinforcements step</a> of your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Poxwalkers""><span class=""kwb kwbo"">POXWALKERS</span></a> unit from your army that is in <a href=""/wh40k10ed/the-rules/core-rules/#Strategic-Reserves"">Strategic Reserves</a> and that is not an <a href=""/wh40k10ed/the-rules/core-rules/#Attached-Units"">Attached unit</a>.<br><br><b>EFFECT:</b> Until the end of the phase, models in that unit have the <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Deep Strike</a> ability."|
479|DG|CLUTCHING CORRUPTION|10136003|Tallyband Summoners – Battle Tactic Stratagem|1.0|The daemons of Nurgle grasp their victims tightly with rotting talons and coiling tentacles, their clutch as inescapable as entropy itself.|Either player’s turn|Fight phase|Tallyband Summoners|1052.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00168"" data-tooltip-content=""#tooltip_content00168"" data-tooltip-anchor=""#tooltip_content00168""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span></span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets an enemy unit that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more <span class=""tooltip00220"" data-tooltip-content=""#tooltip_content00220"" data-tooltip-anchor=""#tooltip_content00220""><span class=""kwb"">PLAGUE</span> <span class=""kwb"">LEGIONS</span></span> units from your army, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>."|
480|DG|MIRESLICK|10136007|Tallyband Summoners – Strategic Ploy Stratagem|1.0|Beneath the tread of Nurgle’s daemons, even ferrocrete or plasteel soon turns to a quagmire of rotting matter, in which their unlucky enemies begin to sink and become trapped.|Opponent’s turn|Movement phase|Tallyband Summoners|1052.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, when an enemy unit (excluding <span class=""kwb"">MONSTERS</span> and <span class=""kwb"">VEHICLES</span>) is selected to <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall Back</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00220"" data-tooltip-content=""#tooltip_content00220"" data-tooltip-anchor=""#tooltip_content00220""><span class=""kwb"">PLAGUE</span> <span class=""kwb"">LEGIONS</span></span> unit from your army that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of that enemy unit.<br><br><b>EFFECT:</b> Until the end of the phase, while an enemy unit is within Engagement Range of your unit, each time that unit is selected to Fall Back, it must take a <a href=""/wh40k10ed/the-rules/core-rules/#Leadership-Tests"">Leadership test</a>. If that test is failed, that unit must <a href=""/wh40k10ed/the-rules/core-rules/#Remain-Stationary"">Remain Stationary</a> this phase instead."|
481|DG|AVATARS OF DECAY|10136006|Tallyband Summoners – Strategic Ploy Stratagem|1.0|Countless diseases blossom in the unreal flesh of Nurgle's daemon childer, manifestations of his blessings to be spread to all.|Your turn|Shooting phase|Tallyband Summoners|1052.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00220"" data-tooltip-content=""#tooltip_content00220"" data-tooltip-anchor=""#tooltip_content00220""><span class=""kwb"">PLAGUE</span> <span class=""kwb"">LEGIONS</span></span> unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, while an enemy unit is within 6"" of your unit, that enemy unit is <span class=""tooltip00400"" data-tooltip-content=""#tooltip_content00400""><span class=""tt kwbu"">Afflicted</span></span>."|
482|DG|PERSISTENT PESTS|10136002|Tallyband Summoners – Strategic Ploy Stratagem|1.0|There is no simple way to wholly cleanse a Nurgling infestation once it has taken root.|Either player’s turn|Any phase|Tallyband Summoners|1052.0|"<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Nurglings""><span class=""kwb kwbo"">NURGLINGS</span></a> unit from your army that was just destroyed. You can target that unit with this Stratagem even though it was just destroyed.<br><br><b>EFFECT:</b> Add a new unit to your army identical to your destroyed unit, in <a href=""/wh40k10ed/the-rules/core-rules/#Strategic-Reserves"">Strategic Reserves</a>, at its <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strength</a> and with its full wounds remaining."|
483|DG|FLESHY AVALANCHE|10136005|Tallyband Summoners – Strategic Ploy Stratagem|1.0|The ephemeral structures of realspace have no power to halt the onset of Nurgle's Great Unclean Ones; they crumble, rot and burst apart before their unholy bulk.|Your turn|Movement or Charge phase|Tallyband Summoners|1052.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> or your <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00749"" data-tooltip-content=""#tooltip_content00749"" data-tooltip-anchor=""#tooltip_content00749""><span class=""kwb"">PLAGUE</span> <span class=""kwb"">LEGIONS</span> <span class=""kwb"">MONSTER</span></span> unit from your army that has not been selected to move or charge this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time your unit makes a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advance</a> or <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge move</a>, it can move horizontally through <a href=""/wh40k10ed/the-rules/core-rules/#Terrain-Features-1"">terrain features</a>."|
484|DG|ALL IS ROT|10136004|Tallyband Summoners – Strategic Ploy Stratagem|1.0|Death Guard warriors open fire into foes already embattled by Nurgle’s daemons, knowing that no matter who they hit, all will wither and rot.|Your turn|Shooting phase|Tallyband Summoners|1052.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00220"" data-tooltip-content=""#tooltip_content00220"" data-tooltip-anchor=""#tooltip_content00220""><span class=""kwb"">PLAGUE</span> <span class=""kwb"">LEGIONS</span></span> unit from your army that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Until the end of the phase, enemy units are not considered to be within Engagement Range of your unit for the purposes of selecting targets of ranged weapons. Until the end of the phase, each time an enemy model loses a wound, while that model’s unit is within Engagement Range of your unit, roll one D6: on a 5+, your unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a> after the attacking unit has finished making its attacks."|
485|DG|POX FLARE|9409002|Unclean Uprising – Battle Tactic Stratagem|1.0|Like fever heat bursting into unclean flame, the diseases infesting these Poxwalkers flare with sudden infectious vitality.|Either player’s turn|Fight phase|Unclean Uprising|931.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>.<br><br><b>TARGET:</b> One <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Poxwalkers""><span class=""kwb kwbo"">POXWALKERS</span></a> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, improve the Armour Penetration characteristic of melee weapons equipped by models in your unit by 1."|
486|DG|PATH OF PESTILENCE|9409003|Unclean Uprising – Strategic Ploy Stratagem|1.0|Long have lurking cultists planned the uprising and prepared the route for their plague-blessed masters to process to victory.|Your turn|Movement phase|Unclean Uprising|931.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase"">Movement phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip"" title=""Keyword does not appear in that faction.""><s class=""kwbs"">DEATH GUARD CULTISTS</s></span> unit from your army that has not been selected to move this phase and is not within <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Select one closed <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Terrain"">Hatchway</a> within 1” of your unit. Your unit can attempt to operate that Hatchway.<br><br><b>RESTRICTIONS:</b> Until the end of the turn, your unit cannot attempt to <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Open-Hatchways"">operate a Hatchway</a> again."|
487|DG|SHAMBLING ONSLAUGHT|9409005|Unclean Uprising – Strategic Ploy Stratagem|1.0|Relentless, untiring, the plague-rotted hordes press forward in a tide of grasping hands, stinking bodies and gnashing, splintered teeth.|Opponent’s turn|Movement phase|Unclean Uprising|931.0|"<b>WHEN:</b> Your opponent's <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase"">Movement phase</a>, just after an enemy unit is selected to <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall Back</a>.<br><br><b>TARGET:</b> One <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Poxwalkers""><span class=""kwb kwbo"">POXWALKERS</span></a> unit from your army within <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Engagement-Range"">Engagement Range</a> of that enemy unit.<br><br><b>EFFECT:</b> After that enemy unit ends that <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall Back move</a>, if your unit is not within Engagement Range of one or more enemy units, your unit can make a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a>."|
488|DG|CHINKS IN THE ARMOUR|9399002|Vectors of Decay – Battle Tactic Stratagem|1.0|Even the slightest weakness is enough for the foulness of the Death Guard to find a way in.|Either player’s turn|Shooting or Fight phase|Vectors of Decay|930.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets a unit within <span class=""tooltip00400"" data-tooltip-content=""#tooltip_content00400""><span class=""tt kwbu"">Contagion</span> <span class=""tt kwbu"">Range</span></span> of one or more units from your army, a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Critical Hit</a> is scored on an unmodified <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 5+, instead of only a 6."|
489|DG|SEEPING CORROSION|9399005|Vectors of Decay – Strategic Ploy Stratagem|1.0|Crawling tendrils of foulness spread through the voidship at the touch of the Death Guard, poisoning and rotting luckless foes.|Your turn|Movement phase|Vectors of Decay|930.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase"">Movement phase</a>, when a <span class=""tooltip00168"" data-tooltip-content=""#tooltip_content00168"" data-tooltip-anchor=""#tooltip_content00168""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span></span> unit from your army (excluding <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Death-Guard-Cultists""><span class=""kwb kwbo"">CULTISTS</span></a> and <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Poxwalkers""><span class=""kwb kwbo"">POXWALKERS</span></a> units) attempts to open a <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Terrain"">Hatchway</a>.<br><br><b>TARGET:</b> That <span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> unit.<br><br><b>EFFECT:</b> Select one enemy unit within 1"" of your unit and on the opposite side of that Hatchway from your unit, and roll one D6: on a 2-4, that enemy unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>; on a 5+, that enemy unit suffers 2 mortal wounds. Until the end of the phase, if an enemy unit attempts to prevent that Hatchway from being opened, when <a href=""/wh40k10ed/the-rules/core-rules/#Roll-offs"">rolling off</a>, you can re-roll your result."|
490|DG|THE DEAD RISE|9409004|Vectors of Decay – Strategic Ploy Stratagem|1.0|What appeared moments before to be a mere carrion heap suddenly lurches into foul and grinning unlife.|Your turn|Movement phase|Unclean Uprising|931.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase"">Movement phase</a>, at the start of the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reinforcements step</a>.<br><br><b>TARGET:</b> One <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Poxwalkers""><span class=""kwb kwbo"">POXWALKERS</span></a> unit from your army that is in <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reserves</a>.<br><br><b>EFFECT:</b> Until the end of the phase, your unit has the <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Before-the-Battle"">Deep Strike ability</a>.<br><br><b>RESTRICTIONS:</b> You can only use this Stratagem once."|
491|DG|GROTESQUE DEMISE|9399003|Vectors of Decay – Strategic Ploy Stratagem|1.0|Many of the plague weapons and revolting diseases unleashed by the Death Guard inflict endings so hideous that the mere sight of them is enough to send unharmed enemies fleeing in horror.|Either player’s turn|Shooting or Fight phase|Vectors of Decay|930.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>, just after a <span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> unit from your army (excluding <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Death-Guard-Cultists""><span class=""kwb kwbo"">CULTISTS</span></a> and <a class=""kwbOne"" href=""/wh40k10ed/factions/death-guard/Poxwalkers""><span class=""kwb kwbo"">POXWALKERS</span></a> units) has shot or fought.<br><br><b>TARGET:</b> That <span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> unit.<br><br><b>EFFECT:</b> Select one enemy unit that had one or more models <a href=""/wh40k10ed/the-rules/core-rules/#Destroyed"">destroyed</a> as a result of those attacks. That enemy unit must take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a>."|
492|DG|DISGUSTINGLY RESILIENT|10124003|Virulent Vectorium – Battle Tactic Stratagem|2.0|Those favoured by Nurgle are inured to pain, their rotting bodies shrugging off all but the most traumatic damage with ease.|Either player’s turn|Shooting or Fight phase|Virulent Vectorium|1049.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00168"" data-tooltip-content=""#tooltip_content00168"" data-tooltip-anchor=""#tooltip_content00168""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time an attack is allocated to a model in your unit, subtract 1 from the Damage characteristic of that attack."|
493|DG|PLAGUESURGE|10124004|Virulent Vectorium – Epic Deed Stratagem|2.0|The foul miasma around the Death Guard swells and thickens, boiling outward like putrid smog.|Your turn|Command phase|Virulent Vectorium|1049.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> Your <span class=""tooltip00168"" data-tooltip-content=""#tooltip_content00168"" data-tooltip-anchor=""#tooltip_content00168""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span></span> <span class=""kwb"">WARLORD</span> that is on the battlefield.<br><br><b>EFFECT:</b> Until the start of your next Command phase, add 3"" to the <span class=""tooltip00400"" data-tooltip-content=""#tooltip_content00400""><span class=""tt kwbu"">Contagion</span> <span class=""tt kwbu"">Range</span></span> of models from your army."|
494|DG|LEECHSPORE ERUPTION|10124005|Virulent Vectorium – Epic Deed Stratagem|1.0|Billowing from this warrior's wounds come clouds of parasitic spores that settle on the foe and drain their vitality, stealing it for the one who spawned them.|Your turn|Command phase|Virulent Vectorium|1049.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00168"" data-tooltip-content=""#tooltip_content00168"" data-tooltip-anchor=""#tooltip_content00168""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span></span> model your army that has lost one or more wounds.<br><br><b>EFFECT:</b> Select one enemy unit within 3"" of your model. Roll a number of D6 equal to the number of wounds your model has lost: for each 5+, that enemy unit suffers one <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a> (to a maximum of 6 mortal wounds) and your model regains 1 lost wound (to a maximum of 6 lost wounds)."|
495|DG|PUTRID DETONATION|10124002|Virulent Vectorium – Strategic Ploy Stratagem|1.0|Bloated with putrefaction and swilling with infectious poisons, the demise of this hulking entity is as revolting as it is explosively hazardous.|Either player’s turn|Any phase|Virulent Vectorium|1049.0|"<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One <span class=""tooltip00524"" data-tooltip-content=""#tooltip_content00524"" data-tooltip-anchor=""#tooltip_content00524""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> <span class=""kwb"">VEHICLE</span></span> or <span class=""tooltip00750"" data-tooltip-content=""#tooltip_content00750"" data-tooltip-anchor=""#tooltip_content00750""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> <span class=""kwb"">MONSTER</span></span> model from your army with the <a href=""/wh40k10ed/the-rules/core-rules/#Assault"">Deadly Demise</a> ability that was just destroyed. You can use this Stratagem on that model even though it was just destroyed.<br><br><b>EFFECT:</b> Do not roll one D6 to determine whether <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a> are inflicted by your model’s Deadly Demise ability. Instead, mortal wounds are automatically inflicted. In addition, any enemy units that suffer mortal wounds as a result of this Stratagem are Afflicted until the start of your next turn."|
496|DG|OVERWHELMING GENEROSITY|10124006|Virulent Vectorium – Wargear Stratagem|1.0|Unholy filth gushes from Nurgle's faithful into their guns until the armaments threaten to burst like bloated corpses.|Your turn|Shooting phase|Virulent Vectorium|1049.0|"<b>WHEN:</b> Start of your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00748"" data-tooltip-content=""#tooltip_content00748"" data-tooltip-anchor=""#tooltip_content00748""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> <span class=""kwb"">CHARACTER</span></span> unit from your army.<br><br><b>EFFECT:</b> Select one enemy unit <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to your unit. Until the end of the phase, each time a <span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> unit from your army selects that enemy unit as the target of any ranged attacks, you can re-roll the dice to determine how many attacks a weapon equipped by a model in that unit makes."|
497|DG|CREEPING BLIGHT|10124007|Virulent Vectorium – Wargear Stratagem|1.0|Those in the grip of Nurgle's unholy plagues become weaker by the moment, barely able to lift their weapons, let alone defend themselves from the attacking Death Guard.|Your turn|Shooting phase|Virulent Vectorium|1049.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00273"" data-tooltip-content=""#tooltip_content00273"" data-tooltip-anchor=""#tooltip_content00273""><span class=""kwb"">DEATH</span> <span class=""kwb"">GUARD</span> <span class=""kwb"">INFANTRY</span></span> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes a ranged attack that targets an <span class=""tooltip00400"" data-tooltip-content=""#tooltip_content00400""><span class=""tt kwbu"">Afflicted</span></span> unit, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> and you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
498|DRU|CONNOISSEURS OF PAIN|10585006|Covenite Coterie – Battle Tactic Stratagem|1.0|These epicureans of extreme sensation revel in their agonies as much as those of the foe.|Either player’s turn|Shooting or Fight phase|Covenite Coterie|1114.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00186"" data-tooltip-content=""#tooltip_content00186"" data-tooltip-anchor=""#tooltip_content00186""><span class=""kwb"">DRUKHARI</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Spend 1 <span class=""tooltip00369"" data-tooltip-content=""#tooltip_content00369""><span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">token</span></span>. Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1. At the end of the phase, if your unit is still on the battlefield and it is a <span class=""tooltip00673"" data-tooltip-content=""#tooltip_content00673"" data-tooltip-anchor=""#tooltip_content00673""><span class=""kwb"">HAEMONCULUS</span> <span class=""kwb"">COVENS</span></span> unit, you gain 1 Pain token."|
499|DRU|POISONER’S ART|10585004|Covenite Coterie – Epic Deed Stratagem|1.0|The venoms wielded by these warriors are potent enough to impress Shaimesh himself.|Either player’s turn|Fight phase|Covenite Coterie|1114.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after a <span class=""tooltip00673"" data-tooltip-content=""#tooltip_content00673"" data-tooltip-anchor=""#tooltip_content00673""><span class=""kwb"">HAEMONCULUS</span> <span class=""kwb"">COVENS</span></span> unit from your army has fought.<br><br><b>TARGET:</b> That <span class=""kwb"">HAEMONCULUS</span> <span class=""kwb"">COVENS</span> unit.<br><br><b>EFFECT:</b> Select one enemy unit (excluding <span class=""kwb"">VEHICLES</span>) hit by one or more of your unit’s attacks this phase. Until the end of the battle, that enemy unit is poisoned. At the start of each <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>, roll one D6 for each poisoned unit on the battlefield: on a 4+, that unit suffers D3 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>."|
500|DRU|SYMPHONY OF SUFFERING|10585003|Covenite Coterie – Epic Deed Stratagem|1.0|So extreme are the foe's agonies that they spread a shock wave of terror through their comrades.|Either player’s turn|Fight phase|Covenite Coterie|1114.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after a <span class=""tooltip00186"" data-tooltip-content=""#tooltip_content00186"" data-tooltip-anchor=""#tooltip_content00186""><span class=""kwb"">DRUKHARI</span></span> unit from your army destroys an enemy unit.<br><br><b>TARGET:</b> That <span class=""kwb"">DRUKHARI</span> unit.<br><br><b>EFFECT:</b> Each enemy unit within 9"" of and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to your unit must take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a>, subtracting 1 from that test if your unit is a <span class=""tooltip00673"" data-tooltip-content=""#tooltip_content00673"" data-tooltip-anchor=""#tooltip_content00673""><span class=""kwb"">HAEMONCULUS</span> <span class=""kwb"">COVENS</span></span> unit."|
